Mosquito Count, Egg Count, Total Count
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,30,149
119,30,149
118,30,148
116,30,146
115,30,145
115,30,145
115,30,145
115,30,145
115,30,145
115,30,145
114,30,144
113,60,173
111,60,171
110,60,170
109,60,169
108,60,168
107,90,197
107,90,197
107,90,197
107,90,197
106,90,196
104,90,194
104,120,224
103,120,223
102,120,222
101,120,221
101,120,221
99,120,219
98,150,248
96,150,246
96,150,246
95,150,245
95,150,245
95,150,245
94,150,244
94,150,244
92,150,242
91,150,241
91,150,241
90,180,270
90,180,270
88,180,268
86,180,266
86,180,266
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
83,180,263
72,180,252
49,180,229
38,180,218
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
36,180,216
34,180,214
34,180,214
33,180,213
33,180,213
33,180,213
33,180,213
33,180,213
33,180,213
33,180,213
62,150,212
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
90,120,210
90,120,210
90,120,210
90,147,237
90,147,237
120,117,237
120,117,237
120,117,237
120,117,237
120,117,237
150,87,237
150,147,297
149,177,326
149,207,356
149,207,356
149,207,356
149,207,356
179,177,356
179,177,356
179,177,356
179,177,356
179,177,356
179,177,356
179,177,356
179,177,356
179,177,356
179,177,356
179,177,356
209,147,356
209,147,356
209,147,356
209,147,356
209,147,356
209,147,356
209,147,356
209,147,356
209,147,356
209,147,356
209,177,386
196,177,373
196,177,373
196,177,373
196,177,373
196,177,373
196,177,373
196,177,373
196,207,403
196,207,403
196,207,403
196,207,403
180,237,417
180,267,447
178,297,475
177,297,474
177,297,474
167,357,524
167,357,524
167,357,524
167,387,554
166,387,553
153,417,570
153,447,600
151,477,628
151,477,628
149,477,626
149,477,626
148,507,655
133,507,640
131,507,638
131,536,667
130,566,696
129,566,695
129,566,695
128,566,694
128,566,694
128,566,694
128,596,724
127,596,723
107,596,703
104,596,700
104,596,700
104,596,700
103,596,699
103,596,699
103,596,699
100,596,696
99,596,695
99,596,695
99,656,755
98,686,784
125,659,784
125,659,784
125,689,814
125,689,814
125,689,814
124,689,813
123,689,812
123,689,812
153,659,812
213,629,842
212,629,841
242,599,841
241,629,870
241,629,870
241,629,870
240,629,869
240,629,869
240,681,921
240,681,921
240,681,921
239,681,920
239,681,920
237,681,918
234,681,915
232,681,913
232,681,913
232,681,913
232,681,913
231,681,912
231,681,912
230,741,971
230,741,971
230,741,971
227,741,968
223,741,964
222,741,963
252,711,963
252,711,963
249,711,960
246,711,957
245,741,986
245,741,986
245,741,986
274,711,985
272,741,1013
266,741,1007
266,741,1007
296,711,1007
296,711,1007
355,651,1006
335,681,1016
333,681,1014
330,681,1011
390,651,1041
390,651,1041
390,651,1041
420,621,1041
450,591,1041
468,561,1029
457,561,1018
457,561,1018
436,561,997
434,561,995
433,561,994
463,531,994
462,531,993
462,531,993
490,502,992
520,472,992
520,472,992
520,472,992
512,472,984
512,472,984
512,472,984
542,442,984
542,442,984
542,442,984
542,442,984
542,472,1014
542,472,1014
540,472,1012
540,472,1012
540,472,1012
540,472,1012
540,472,1012
570,442,1012
610,382,992
610,382,992
609,382,991
639,352,991
637,352,989
636,352,988
636,352,988
609,352,961
607,382,989
607,382,989
605,382,987
635,375,1010
616,375,991
591,374,965
591,374,965
591,374,965
588,374,962
538,374,912
568,374,942
590,352,942
572,352,924
561,352,913
544,352,896
526,352,878
525,352,877
520,352,872
516,352,868
512,352,864
495,352,847
495,352,847
495,352,847
528,292,820
503,292,795
503,292,795
503,319,822
503,349,852
501,349,850
495,349,844
474,349,823
470,349,819
458,349,807
450,349,799
479,347,826
479,347,826
478,347,825
478,347,825
503,317,820
495,347,842
485,347,832
460,407,867
416,435,851
439,405,844
439,405,844
413,405,818
438,435,873
438,435,873
438,465,903
438,465,903
437,465,902
437,465,902
437,465,902
443,435,878
435,435,870
405,465,870
403,465,868
398,465,863
398,465,863
397,465,862
368,495,863
348,495,843
348,495,843
342,495,837
342,495,837
341,495,836
338,495,833
336,555,891
334,555,889
328,555,883
327,585,912
322,585,907
352,555,907
318,555,873
318,555,873
318,555,873
318,555,873
314,555,869
312,555,867
309,555,864
309,555,864
306,555,861
305,555,860
305,555,860
280,555,835
280,585,865
276,615,891
301,585,886
278,585,863
272,585,857
272,615,887
292,592,884
290,652,942
305,623,928
303,623,926
299,653,952
281,743,1024
309,713,1022
308,713,1021
308,743,1051
307,743,1050
306,773,1079
305,773,1078
275,773,1048
271,773,1044
269,773,1042
269,773,1042
264,773,1037
264,773,1037
264,773,1037
264,773,1037
256,773,1029
256,773,1029
253,833,1086
310,776,1086
308,776,1084
306,776,1082
301,806,1107
299,806,1105
298,836,1134
297,836,1133
325,808,1133
302,808,1110
302,808,1110
302,808,1110
302,808,1110
332,778,1110
331,808,1139
331,829,1160
419,741,1160
419,771,1190
418,771,1189
417,771,1188
415,771,1186
475,711,1186
473,741,1214
503,711,1214
479,741,1220
477,741,1218
477,741,1218
476,741,1217
456,771,1227
481,741,1222
460,741,1201
458,771,1229
454,771,1225
451,771,1222
423,771,1194
449,741,1190
449,741,1190
448,741,1189
448,741,1189
448,741,1189
447,741,1188
447,741,1188
507,681,1188
507,681,1188
506,681,1187
535,711,1246
535,711,1246
535,711,1246
534,741,1275
533,741,1274
532,741,1273
474,741,1215
474,771,1245
471,771,1242
467,771,1238
462,771,1233
461,771,1232
459,771,1230
431,771,1202
459,771,1230
459,771,1230
487,741,1228
486,741,1227
455,741,1196
484,711,1195
484,741,1225
512,681,1193
484,681,1165
484,681,1165
514,651,1165
574,651,1225
569,621,1190
568,651,1219
576,651,1227
576,651,1227
606,621,1227
605,651,1256
602,651,1253
601,651,1252
580,651,1231
579,651,1230
579,651,1230
575,651,1226
574,651,1225
574,651,1225
549,651,1200
549,651,1200
579,651,1230
607,651,1258
607,681,1288
606,681,1287
636,711,1347
596,711,1307
596,711,1307
624,681,1305
606,710,1316
606,710,1316
599,710,1309
596,710,1306
593,710,1303
593,740,1333
592,740,1332
620,740,1360
640,719,1359
637,744,1381
666,714,1380
660,714,1374
660,774,1434
659,804,1463
629,834,1463
659,804,1463
668,774,1442
668,774,1442
666,774,1440
664,774,1438
671,774,1445
648,774,1422
623,804,1427
652,832,1484
621,832,1453
599,832,1431
550,862,1412
549,922,1471
522,922,1444
521,922,1443
506,952,1458
505,982,1487
505,1042,1547
505,1072,1577
505,1072,1577
503,1102,1605
503,1102,1605
563,1042,1605
563,1072,1635
562,1098,1660
562,1098,1660
591,1068,1659
567,1098,1665
540,1098,1638
529,1098,1627
549,1128,1677
522,1128,1650
521,1128,1649
519,1188,1707
497,1188,1685
489,1216,1705
517,1186,1703
513,1186,1699
513,1186,1699
513,1186,1699
512,1216,1728
509,1216,1725
478,1216,1694
490,1186,1676
488,1216,1704
464,1216,1680
464,1216,1680
493,1216,1709
519,1216,1735
517,1216,1733
529,1216,1745
535,1216,1751
529,1216,1745
529,1216,1745
557,1186,1743
535,1216,1751
534,1246,1780
531,1246,1777
504,1246,1750
503,1246,1749
503,1246,1749
499,1246,1745
499,1246,1745
497,1246,1743
497,1246,1743
517,1216,1733
576,1186,1762
574,1216,1790
603,1216,1819
629,1216,1845
623,1216,1839
623,1216,1839
619,1187,1806
617,1217,1834
612,1217,1829
610,1217,1827
580,1217,1797
579,1217,1796
608,1187,1795
600,1217,1817
604,1187,1791
625,1192,1817
625,1222,1847
622,1222,1844
677,1162,1839
673,1162,1835
677,1132,1809
706,1132,1838
705,1132,1837
700,1162,1862
693,1162,1855
693,1162,1855
718,1132,1850
688,1132,1820
688,1132,1820
748,1072,1820
776,1044,1820
751,1044,1795
729,1074,1803
819,984,1803
796,984,1780
772,984,1756
802,984,1786
832,954,1786
867,894,1761
866,894,1760
894,894,1788
923,864,1787
918,864,1782
917,864,1781
945,864,1809
971,868,1839
971,898,1869
970,928,1898
970,988,1958
975,988,1963
919,988,1907
918,988,1906
951,928,1879
918,928,1846
918,958,1876
978,898,1876
977,898,1875
984,900,1884
981,900,1881
981,930,1911
981,930,1911
1011,900,1911
979,900,1879
979,900,1879
950,900,1850
924,900,1824
950,870,1820
950,900,1850
930,870,1800
960,870,1830
937,897,1834
915,897,1812
975,837,1812
974,837,1811
973,837,1810
973,837,1810
982,807,1789
980,807,1787
1009,777,1786
985,777,1762
922,807,1729
915,807,1722
914,807,1721
824,837,1661
822,837,1659
807,867,1674
806,867,1673
777,837,1614
722,867,1589
774,837,1611
743,837,1580
746,807,1553
746,927,1673
745,927,1672
764,897,1661
742,925,1667
741,925,1666
740,985,1725
737,1015,1752
706,1075,1781
736,1045,1781
736,1105,1841
675,1165,1840
733,1105,1838
733,1105,1838
674,1105,1779
673,1165,1838
646,1165,1811
641,1165,1806
667,1135,1802
692,1165,1857
673,1165,1838
672,1165,1837
672,1195,1867
671,1195,1866
671,1225,1896
654,1225,1879
654,1255,1909
629,1255,1884
615,1255,1870
644,1255,1899
644,1315,1959
582,1315,1897
611,1285,1896
609,1315,1924
609,1315,1924
582,1315,1897
612,1315,1927
582,1345,1927
582,1405,1987
573,1405,1978
570,1405,1975
630,1345,1975
659,1315,1974
687,1315,2002
740,1315,2055
739,1345,2084
742,1375,2117
739,1435,2174
727,1435,2162
719,1435,2154
698,1525,2223
723,1495,2218
723,1555,2278
753,1525,2278
727,1525,2252
726,1555,2281
754,1585,2339
753,1585,2338
750,1615,2365
729,1675,2404
718,1705,2423
718,1735,2453
673,1765,2438
686,1825,2511
685,1885,2570
713,1885,2598
712,1975,2687
739,1948,2687
717,2008,2725
694,2038,2732
693,2038,2731
692,2068,2760
692,2068,2760
691,2068,2759
686,2068,2754
685,2068,2753
685,2098,2783
707,2128,2835
706,2128,2834
714,2128,2842
713,2158,2871
702,2158,2860
713,2128,2841
712,2128,2840
742,2098,2840
769,2068,2837
769,2068,2837
755,2098,2853
813,2068,2881
869,2098,2967
868,2128,2996
847,2130,2977
821,2160,2981
828,2130,2958
805,2100,2905
891,2010,2901
872,2010,2882
900,1980,2880
929,1950,2879
988,1950,2938
983,1980,2963
951,2010,2961
942,2010,2952
978,1980,2958
978,1980,2958
978,2006,2984
1014,2006,3020
1014,2006,3020
1012,2066,3078
1011,2066,3077
1040,2096,3136
1068,2066,3134
1067,2126,3193
1072,2124,3196
1058,2214,3272
1058,2274,3332
1039,2334,3373
1078,2274,3352
1107,2274,3381
1106,2334,3440
1103,2334,3437
1127,2304,3431
1115,2334,3449
1108,2364,3472
1162,2304,3466
1222,2244,3466
1218,2244,3462
1188,2244,3432
1186,2244,3430
1184,2274,3458
1164,2274,3438
1192,2364,3556
1252,2304,3556
1251,2304,3555
1341,2213,3554
1314,2273,3587
1310,2303,3613
1368,2273,3641
1373,2273,3646
1342,2273,3615
1367,2243,3610
1347,2273,3620
1374,2333,3707
1380,2303,3683
1384,2303,3687
1311,2303,3614
1339,2273,3612
1374,2213,3587
1399,2153,3552
1348,2153,3501
1435,2093,3528
1457,2093,3550
1547,2003,3550
1496,2003,3499
1583,1913,3496
1582,1913,3495
1594,1853,3447
1622,1853,3475
1619,1853,3472
1648,1823,3471
1627,1823,3450
1606,1823,3429
1600,1883,3483
1604,1883,3487
1632,1913,3545
1660,1883,3543
1683,1913,3596
1625,1943,3568
1623,1943,3566
1622,1943,3565
1619,2003,3622
1595,2003,3598
1594,2063,3657
1593,2153,3746
1523,2153,3676
1498,2213,3711
1618,2093,3711
1644,2093,3737
1666,2093,3759
1696,2093,3789
1695,2093,3788
1657,2093,3750
1589,2123,3712
1588,2181,3769
1504,2181,3685
1486,2181,3667
1511,2211,3722
1551,2181,3732
1505,2271,3776
1534,2241,3775
1519,2271,3790
1518,2301,3819
1514,2275,3789
1485,2335,3820
1519,2275,3794
1547,2275,3822
1550,2335,3885
1501,2515,4016
1491,2485,3976
1548,2455,4003
1488,2457,3945
1458,2487,3945
1462,2457,3919
1577,2367,3944
1489,2457,3946
1512,2457,3969
1486,2427,3913
1489,2427,3916
1488,2427,3915
1481,2427,3908
1481,2517,3998
1508,2487,3995
1501,2487,3988
1471,2517,3988
1441,2637,4078
1414,2697,4111
1381,2757,4138
1411,2757,4168
1409,2727,4136
1498,2725,4223
1527,2695,4222
1525,2785,4310
1579,2726,4305
1604,2726,4330
1662,2696,4358
1664,2666,4330
1614,2666,4280
1549,2726,4275
1546,2756,4302
1581,2696,4277
1607,2666,4273
1637,2636,4273
1632,2636,4268
1632,2636,4268
1622,2636,4258
1618,2696,4314
1613,2726,4339
1557,2696,4253
1554,2726,4280
1556,2696,4252
1517,2696,4213
1515,2696,4211
1497,2696,4193
1497,2696,4193
1500,2696,4196
1466,2726,4192
1437,2726,4163
1433,2726,4159
